"index";"jogoMiolosDesigner"
927;"Jordan Sorenson"
929;"Mathias Wigge"
936;"Mat Hart"
939;"Eric Dubus"
940;"Fabrice Besson"
941;"Christian Martinez"
946;"Vicente (Vince) Martin"
947;"Yuri Zhuravljov"
948;"Christopher Chung"
951;"Danny Devine"
952;"Kristian Amundsen Østby"
957;"Guillaume Blossier"
960;"Kevin Talarico de Oliveira"
963;"Joel Finch"
965;"Alfred Mosher Butts"
968;"Susan McKinley Ross"
969;"Joshua Kritz"
972;"Desley Raul"
973;"Rogério Lourenço"
975;"Adrian Abela"
978;"Cristiano Chaves de Oliveira"
979;"David Flies"
980;"Laurent Escoffier"
981;"Alexander Schmidt"
983;"Geraldo Décourt"
985;"John D. Clair"
987;"Daniel Braga"
988;"Grow Jogos e Brinquedos"
990;"Brett Sobol"
994;"Tomás Queiroz"
995;"Pavel Atamanchuk"
996;"Joseph Z Chen"
998;"Moisés Pacheco"
999;"Hervé Marly"
1001;"Adam E. Daulton"
1003;"William Borba"
1005;"Thiago Boaventura"
1008;"Diego Ibañez"
1010;"Rory O'Connor"
1015;"Jesse Li"
1016;"Peer Sylvester"
1017;"佐山貴亮 (Takaaki Sayama)"
1018;"Aristide Bruyant"
1019;"Croc"
1021;"Richard Lambert"
1022;"Leslie Scott"
1031;"Andre Estevez"
1033;"Kenneth Minde"
1036;"Babis Giannios"
1039;"Jean du Poël"
1040;"Ben Rosset"
1044;"L'Atelier"
1046;"Games Workshop Ltd."
1048;"Gerhard Hecht"
1049;"Ted Raicer"
1052;"Filip Miłuński"
1053;"Carlos Couto"
1055;"Edward Bolme"
1057;"Michael Schacht"
1058;"Klaus Zoch"
1063;"Richard Hamblen"
1064;"Adrien Hesling"
1065;"Raphael Socrates"
1069;"Eduardo Caetano"
1071;"Mário Sérgio"
1074;"Mattel"
1075;"Akihisa Okui"
1077;"Dirk Baumann"
1079;"Wilko Manz"
1081;"Bobby Hill"
1082;"Annick Lobet"
1083;"Cliff Bohm"
1084;"Daniel Clark (I)"
1085;"Holger Bösch"
1086;"Michel Lalet"
1087;"Yasutaka Ikeda"
1092;"Marcos Mayora"
1097;"Michiel Justin Elliott Hendriks"
1098;"Alban Viard"
1099;"Kristian Čurla"
1100;"Masao Suganuma"
1103;"Mark Major"
1108;"Werner Ernst George Muller"
1109;"Richard Halliwell"
1110;"Urs Hostettler"
1111;"Taiki Shinzawa"
1112;"Marsha J. Falco"
1116;"Will Donovan"
1118;"Matheus Hoffmann"
1120;"Christian Leonhard"
1124;"Aaron Vanderbeek"
1125;"JocArt"
1127;"Manfred Burggraf"
1128;"Blaise Muller"
1129;"Antler Productions"
1130;"Grégory Oliver"
1133;"Bernhard Skopnik"
