"index";"bg_designer"
917;"Wolfgang Riedesser"
919;"Holger Bsch"
920;"David Parlett"
922;"Francesco Rotta"
923;"Dimitry Davidoff"
923;"Andrew Plotkin"
924;"Jason Harner"
924;"Matthew Ransom"
925;"D Brad Talton"
926;"Gary Dicken"
926;"Steve Kendall"
926;"Phil Kendall"
927;"Jon Darbro"
929;"Wolfgang Ldtke"
930;"Chris Taylor I"
935;"Urtis ulinskas"
936;"Jo Hartwig"
938;"Chuck Foley"
938;"Reyn Guyer"
938;"Neil W Rabens"
939;"Dan Hallagan"
942;"Eleanor Abbott"
948;"Mario Porpora"
948;"Pietro Righi Riva"
948;"Luca Francesco Rossi"
948;"Nicol Tedeschi"
950;"Michal Mike"
950;"Jan Soukal"
950;"Adam Spanel"
952;"Greg Daigle"
957;"Simone Romano"
957;"Nunzio Surace"
961;"Pascal Bernard"
961;"Laurent Pouchain"
965;"Jon Perry"
966;"BakaFire"
973;"Piotr Haraszczak"
979;"Joel Finch"
980;"Carey Grayson"
980;"Randy Nash"
980;"Rick Soued"
982;"Joseph Z Chen"
982;"Justin Faulkner"
984;"Michiel Justin Elliott Hendriks"
985;"Mr Bistro"
985;"J Arthur Ellis"
986;"Brian Mayer"
988;"Robert Vaughn"
990;"Daniel Skjold Pedersen"
991;"Sean Ross I"
993;"Lewis Pulsipher"
994;"Bill Payne"
995;"Grgory Oliver"
996;"Ivan Tuzovsky"
1000;"Andrew Parks"
1003;"Herv Rigal"
1005;"Walter Schneider"
1007;"Ryan Courtney"
1008;"Noah Cohen"
1008;"Ryan Miller"
1008;"Brian Neff"
1009;"David B Bromley"
1016;"Sbastien Gigaudaut"
1016;"David Rakoto"
1017;"David R Megarry"
1018;"Richard Berthold"
1018;"Don Greenwood"
1018;"Robert Haines"
1021;"Hope S Hwang"
1023;"Beau Beckett"
1023;"Jeph Stahl"
1025;"Aviva Schecterson"
1025;"Liz Spain"
1025;"Elisa Teague"
1026;"Marvin Glass"
1026;"John Spinello"
1027;"James DAloisio"
1027;"Austin Rucker"
1028;"Chad DeShon"
1030;"Tom Dalgliesh"
1030;"Jerry Taylor"
1031;"Chris Leder"
1031;"Kevin Rodgers"
1033;"Werner Hodel"
1040;"Jeremy Holcomb"
1040;"Stephen McLaughlin"
1043;"Tim Pinder"
1044;"Rdiger Koltze"
1045;"Klaus Zoch"
1048;"Loc Lamy"
1050;"Takumi Akabane"
1050;"Tsunekaz Ishihara"
1052;"Michael Michaels"
1053;"Gary Kim"
1055;"Jason B McAllister"
1055;"David A Trampier"
1058;"Hagen Dorgathen"
1059;"Stefan Kgl"
1060;"Derek Carver"
1060;"Pierre Clquin"
1069;"Nicolas Oury"
1073;"David Gregg"
1076;"Cdric Lefebvre"
1076;"Fabrice Rabellino"
1078;"Darren Kisgen"
1079;"Tim Puls"
1081;"ChihFan Chen"
1083;"David Carl"
1083;"Alex Hall"
1083;"Mat Hart"
1083;"Richard Loxam"
1088;"Doug Eckhart"
1089;"Bryan Reese"
1090;"Miranda Evarts"
1091;"Andrew Innes"
1097;"Gil dOrey"
1099;"Alex Rockwell"
1100;"Nicolas Poncin"
1114;"Marco Teubner"
1115;"Richard Hamblen"
1119;"Martin Nedergaard Andersen"
1121;"Ed Beach"
1124;"Stefan Klo"
1126;"Ondra Skoup"
1137;"Trey Chambers"
1138;"Frank Kohner"
1138;"Paul Kohner"
1138;"Fred Kroll"
1139;"Thomas Vande Ginste"
1139;"Wolf Plancke"
1142;"Emely Brand"
1142;"Lukas Brand"
1145;"Daniel Piechnick"
1149;"Murat Clbi"
1149;"Nicolas Degouy"
1149;"TOT"
1150;"Keren Philosophales"
1150;"Michael Shinall"
1151;"J Alex Kevern"
1153;"Bobby Hill"
1158;"Justin Oh"
1160;"Christoph Toussaint"
1163;"Jim Lin"
1163;"Gregory Marques"
1163;"Sean McCarthy"
1163;"Jay Schneider"
1163;"Rob Watkins Board Game I"
1170;"Annick Lobet"
1171;"Rory OConnor"
1173;"Emmanuel Aquin"
1179;"Gary Arant"
1180;"Ronald Wettering"
1181;"Corey Young"
1183;"Shingo Fujita"
1183;"Shotaro Nakashima"
1183;"Motoyuki Ohki"
1183;"Hiromi Oikawa"
1184;"Nigel Buckle"
1187;"Jim Krohn"
1191;"Brian Yu"
1194;"TauCeti Deichmann"
1195;"Karol Madaj"
1196;"Forest Brown"
1196;"L R Butch Leeper"
1205;"Julien Vergonjeanne"
1208;"Jeffrey D Allers"
1211;"Robert P Moore"
1214;"Denys Fisher"
1224;"Michael Adams"
1225;"Matt Eklund"
1225;"Phil Eklund"
1225;"Jim Gutt"
1230;"Jeff Horger"
1230;"Carla Horger"
1232;"Akihiro Itoh"
1232;"Kwaji"
1232;"Daichi Okano"
1232;"Kito Shinma"
1237;"Susumu Kawasaki"
1239;"Tomas Flodn"
1241;"Gavin Birnbaum"
1243;"Laurent Verrier"
1246;"Francesco Testini"
1247;"Shanon Lyon"
1247;"Marisa Pena"
1247;"Colt TiptonJohnson"
1253;"Graeme Jahns"
1256;"Geoff Engelstein"
1256;"Brian Engelstein"
1257;"John Hill I"
1260;"Mark K Swanson"
1263;"Scott Caputo"
1264;"Klaus Palesch"
1267;"Evan Derrick"
1268;"Lauren Banerd"
1268;"Jim Eliason"
1268;"Jeff Groteboer"
1268;"Bruce Harper"
1268;"Eric Hunter"
1268;"Steven Padgett"
1268;"Gary Rapanos"
1268;"Michael Roos"
1268;"Jennifer Schlickbernd"
1268;"Jeff Suchard"
1271;"Emma Larkins"
1272;"Jakob Bonds"
1273;"Ian Estrin"
1273;"Jeff Liu"
1273;"Ryan OConnor"
1276;"Monty Stambler"
1276;"Ann Stambler"
