"index";"jogoMiolosArtista"
876;"Ulisses Silva de Sousa"
878;"Irene Bressel"
879;"Jakub Politzer"
883;"Sylvain Aublin"
884;"Giacomo Tappainer"
887;"Didier Poli"
892;"Rafael Gandine"
893;"Raqsonu"
894;"Michael Christopher"
897;"Douglas Duarte"
900;"White Wizard Games"
903;"Martin Abel"
907;"Ilya Baranovsky"
908;"Laura Bevon"
910;"Samuel Marcelino"
913;"Edu Valls"
914;"Pavlos Germidis"
915;"Tomasz Bogusz"
919;"Alex ""hangemhigh13"""
920;"Stephen Gibson"
922;"Koichi Ooyama"
923;"Viktor Miller Gausa"
925;"Marianna Teixeira"
926;"Philip Dickenson"
930;"Ben Zweifel"
931;"Vicki Dalton"
935;"Sarah Bourquin"
936;"Steamforged Games Ltd."
937;"Daniele Rios Boleeiro"
938;"Gavan Brown"
939;"Florian Stitz"
943;"Ronald Halliday"
946;"Grow Jogos e Brinquedos"
947;"Dmitry Burmak"
951;"Danny Devine"
954;"Felix Wermke"
957;"Jean-Baptiste Reynaud"
965;"C. Leslie Crandall"
968;"Outset Media"
970;"Pam Wishbow"
973;"Side Quest"
975;"Panayiotis Lyris"
978;"Flávio Augusto Ribeiro"
979;"Aoulad"
983;"Gulliver"
985;"Storn Cook"
987;"Renato Faccini"
995;"Marina Kunakasova"
996;"Joseph Z Chen"
998;"Frank Willians"
999;"Rose Kipik"
1001;"Chris Byer"
1003;"7G Universe"
1006;"Gabriel Laulunen"
1007;"Z-Man Games"
1010;"Rory O'Connor"
1012;"Eagle-Gryphon Games"
1013;"Lee Brimmicombe-Wood"
1015;"Desnet Amane"
1016;"Benoit Billion"
1018;"Cyrille Bertin"
1019;"Bertrand Benoit"
1021;"Florence Magnin"
1023;"Renato Sasdelli"
1024;"Sanjana Baijnath"
1026;"Mike Doyle (I)"
1031;"João Victor Bastos"
1034;"Nayara Yukari"
1037;"Jason C. Hill"
1039;"Jean du Poël"
1040;"Christopher Kirkman"
1041;"Plaid Hat Games"
1042;"Ilonka Sauciuc"
1045;"Marie-Elaine Bérubé"
1046;"Games Workshop Ltd."
1052;"Piotr Socha"
1053;"Daniel Araújo"
1058;"Daan van Paridon"
1065;"Marília Feldhues"
1070;"Mario Barbati"
1073;"Roman Kucharski"
1074;"Mattel"
1075;"MonsterOctopus"
1076;"Meredith Walker"
1077;"Rolf Vogt"
1078;"Larry Elmore"
1079;"Luke Radl"
1082;"Nikao"
1083;"Kennon James"
1084;"Tim Arney-O'Neil"
1085;"Bernhard Skopnik"
1087;"Karim Chakroun"
1088;"Vincent van Gogh"
1089;"Patricia Limberger"
1093;"Garen Ewing"
1099;"Artur Sadlos"
1100;"Noboru Hotta"
1101;"Erfian Asafat"
1103;"Brian Patterson"
1104;"Jason Coates"
1105;"Katherine Baxter"
1106;"Bernd Wagenfeld"
1108;"Dutch Blitz Games Company"
1109;"John Blanche"
1110;"Res Brandenberger"
1112;"John Langdon"
1118;"Matheus Hoffmann"
1121;"Raya Alexander"
1125;"JocArt"
1127;"Erika Binz-Blanke"
1129;"Antler Productions"
1133;"Holger Bösch"
1134;"Yaniv Shimoni"
1135;"Sabrina Tobal"
1137;"Johannes Sich"
1139;"Tony Boydell"
1141;"CMON Limited"
1142;"Guido Kuip"
1143;"Tony Go"
1144;"William O'Connor"
1145;"Bluguy"
1147;"Devir"
1148;"Luish Moraes Coelho"
1150;"Kinetic"
1152;"Catherine Batka"
1154;"Copag"
1156;"Randy Asher"
1157;"Felideus Bubastis"
1160;"Fiore GmbH"
1161;"Queen Games"
1165;"Cody Jones"
1167;"François Bruel"
1168;"Seweryn Borkowski"
1169;"Kazuki Takahashi"
1170;"Yan Egorov"
1173;"Bernard Bittler"
1179;"Blake Beasley"
1180;"Andrea Alemanno"
1183;"Brotherwise Games"
1186;"Igor Alencar"
1190;"Louis Durrant"
1191;"Zoe Robinson"
1193;"Quinton Hoover"
1204;"Lavka Games"
1205;"Natalia Baranowska"
1206;"Heather Cornelius"
1210;"Anne Stokes"
1211;"Martin Mottet"
1212;"Ryan Goldsberry"
1214;"db-Spiele"
1215;"Grzegorz Bobrowski"
1216;"Rodrigo Sampaio Rodriguez"
1217;"CD Projekt RED"
1220;"Brett Carville"
1224;"Jerry Redding"
1225;"Alessia Valentina Coppola"
1227;"Denis Zilber"
1229;"EmperorS4 Games"
1231;"Tomasz Larek"
1232;"Maciej Janik"
1233;"Cédrick Le Bihan"
1236;"Eckhard Freytag"
1237;"Chris Walton"
1240;"Marko Fiedler"
1246;"Gustavo Matsunaga"
1247;"Toby Allen"
1248;"Jarosław Wajs"
1252;"Kami Queiroz"
1253;"Simon Eckert"
1254;"Jamel Akib"
1255;"Fabrice Weiss"
1256;"Nicholas Avallone"
1257;"Ritva Hussain-Shahid"
1258;"Joanna Rosa"
1259;"Óscar Aguado"
1260;"Christophe Swal"
1262;"Portal Games"
1263;"Patrick Soeder"
1264;"Mariusz Gandzel"
1265;"Charlotte Bey"
1266;"Leon Cortez"
1268;"Mauro dal Bo"
1274;"(Self-published)"
1276;"Alexandra Petruk"
1277;"Amanda Lemos"
1279;"Thomas Vuarchex"
1280;"Corinne Roberts"
1281;"Hans Baltzer"
1282;"Tara Gallagher"
1283;"Jeffrey D. George"
1285;"Heiko Günther"
1286;"Fernando Henrique Pereira Batista"
1287;"Rodrigo Romeu"
1288;"Zetor"
1289;"Oliver Barrett"
1291;"Brian Buckley"
1295;"Pierre Benigni"
1300;"Josh Wood"
1302;"Victor Cavalcanti"
1313;"Karl-Otto Homes"
1315;"Stéphane Gantiez"
1319;"PD-Verlag"
1320;"Siscu Bellido"
1324;"Núria Aparicio"
1331;"Uai Jogos"
1333;"Damien Mammoliti"
1336;"Julián Chab"
1339;"Markus Erdt"
1341;"Cãobuleiro"
1342;"Jennifer L. Meyer"
1344;"Alex Fernandez (I)"
1345;"Bruno Accioly"
1348;"Grok Games"
1349;"Marcel-André Casasola Merkle"
1351;"Stefano de Fazi"
1355;"Phil Eklund"
1357;"All-Aboard Games"
1364;"Hans im Glück Verlags-GmbH"
1366;"Scott Hartman"
1367;"Noboru Sugiura"
1368;"Camille Chaussy"
1376;"Christophe Boelinger"
1379;"Jason Taylor"
1380;"Daniel Windfeld Schmidt"
1387;"Chris Ostrowski"
1388;"Lotte M. Klixbüll Jaskov"
1389;"Bernard Chang"
1391;"Ingrid Berner"
1394;"Maiko Fujita"
1397;"Riccardo Burchielli"
1398;"Jonas Hassibi"
1399;"Kiox Studio"
1403;"Wizards of the Coast"
1404;"KniffDesign"
1407;"Dan Hallagan"
1413;"Nuno Saraiva"
1416;"Davey Baker"
1418;"Ramy Badie"
1421;"Minha Avaliação: -"
1425;"Filipe G. Cunha"
1427;"Bartlomiej Roczniak"
1429;"Mac Gerdts"
1431;"Bob Naismith"
1432;"Ramon Mascarenas"
1435;"Régis Torres"
1440;"Stephen Hillenburg"
1441;"Rita Åse"
1443;"Anna Llenas"
1444;"Jak L. Hueng"
1449;"Johnny Dias"
1450;"Alexios Tjoyas"
1451;"Sandra Garavito"
1452;"Michael Andresakis"
1455;"Jocularis"
1456;"Christof Tisch"
1458;"Herschel Hoffmeyer"
1459;"USAopoly"
1462;"PlaceHolder"
1464;"Giorgio Baroni"
1467;"Carl Anderson"
1473;"Design/Main"
1475;"Emmanuel Aquin"
1477;"Todd Sanders"
1478;"Eric J. Carter"
1479;"Marcelo Groo"
1480;"Octographics"
1484;"Patricia Raubo"
1487;"Charles Kibler"
1488;"Vitor Cafaggi"
1491;"Jim Butcher"
1493;"Dwayne Biddix"
1495;"Mateusz Komada"
1497;"Eduardo Myr"
1501;"Rui Alípio Monteiro"
1503;"Andrew Navaro"
1504;"Noah Adelman"
1506;"Fernando Armentano"
1511;"ことり寧子 (Kotori Neiko)"
1513;"Naoki Fukuda"
1515;"Xalingo Brinquedos"
1516;"Fábio Fontes"
1520;"Deirdre de Barra"
1521;"Dennis Kauth"
1523;"Chih-Fan Chen"
1524;"Richard Stubenvoll"
1525;"KOSMOS"
1526;"Verônica Saiki"
1530;"Joe Amoral"
1535;"David A. Nash"
1537;"Donal Hegarty"
1539;"Philippe Bouvier"
1541;"Francesco Mattioli"
1545;"Felix Janson"
1546;"Keith Parkinson"
1549;"Raymond Swanland"
1553;"Massimiliano Bertolini"
1554;"Olivier Fagnère"
1555;"Indie Boards & Cards"
1556;"Vinícius Machado"
1560;"Élise Plessis"
1565;"Catalyst Game Labs"
1566;"Yoshiaki Tomioka"
1568;"Bénédicte Ammar"
1571;"Bas Jongkind"
1572;"(Public Domain)"
1577;"Piotr Rossa"
1578;"Daniel Souto"
1580;"Alberto Bontempi"
1581;"Sandro Zambi"
1582;"Grafit Studios"
1583;"Jacob Elijah Walker"
1584;"Paolo Parente"
1585;"HOT Games"
1586;"Jeroen Doumen"
1592;"Andreza Farias"
1593;"Steven Hamilton"
1594;"Hasbro"
1597;"Joseph Fatula"
1600;"Concept Art House"
1601;"Anthony Cournoyer"
1602;"Ivan Gil"
1603;"Marta Danecka"
1607;"Claire Conan"
1608;"Brigette Indelicato"
1609;"Wayne Barrett"
1613;"Taylor Bogle"
1614;"Wisemen Games"
1622;"Hieronymus Bosch"
1623;"Taline Schubach"
1624;"Chip Theory Games"
1625;"Alphonse Mucha"
1627;"ThinkFun"
1630;"Júnior Araújo"
1633;"Ankama"
1634;"Hasbro do Brasil"
1637;"Paizo Publishing"
1638;"Paulo Kielwagen"
1642;"Todd Lockwood"
1651;"Jochen Eeuwyk"
1653;"Kerstin Buzelan"
1654;"Denis Blanchot"
1658;"Estrela"
1659;"Estação Q"
1661;"Aron Palo"
1662;"Matt Heerdt"
1664;"Fran Diaz"
1665;"John Goodenough"
1674;"Wundergestalten"
1675;"Will Schoonover"
1677;"Damon S. Brown"
1678;"Rafał Badan"
1681;"Samuel H. Greenwell"
1685;"Arve D. Fühler"
1687;"Julie Dillon"
1691;"Bombyx"
1692;"Alex Diochon"
1696;"Jeff Ward"
1701;"Renato Keiteris"
1702;"Peter Gifford"
1704;"Haakon Gaarder"
1708;"Shawn Stankewich"
1710;"Alba Aragon"
1712;"Andrew Mironov"
1715;"Tony Rochon"
1716;"Collette Tarbuck"
1721;"Alexandre Bonvalot"
1723;"James Masino"
1725;"Deinko Games"
1726;"Calamity Games"
1729;"Things by Diana"
1736;"Jacopo Camagni"
1742;"Alyn Spiller"
1744;"Aaron Acevedo"
1748;"Débora Caritá"
1753;"Alex Drummond"
1756;"Antonis Papantoniou"
1757;"Mike Perry"
1766;"WizKids"
1767;"Nolan Nasser"
1769;"Fox Barrett"
1779;"Chen Zhifan"
1780;"Tytus Brzozowski"
1781;"Gina Salvador"
1782;"Erkan Karagöz"
1783;"Andrew Thompson"
1787;"Ricardo Crosa"
1790;"Alan D'Amico"
1791;"Darren Calvert"
1792;"Keith Lowe"
1795;"João Ferreira"
