"id";"gameRank";"gameName";"notaRank";"notaMedia";"qtNotas";"url"
"1550";"1550º";"Bios: Megafauna (second edition)";6.89;7.99;30;"https://ludopedia.com.br/jogo/bios-megafauna-second-edition"
"1551";"1551º";"First Martians: Adventures on the Red Planet";6.89;8.03;29;"https://ludopedia.com.br/jogo/first-martians-adventures-on-the-red-planet"
"1552";"1552º";"Here to Slay";6.89;8.07;28;"https://ludopedia.com.br/jogo/here-to-slay"
"1553";"1553º";"O Monstro das Cores";6.89;8.16;26;"https://ludopedia.com.br/jogo/the-color-monster"
"1554";"1554º";"Love Letter: Batman";6.88;7.64;44;"https://ludopedia.com.br/jogo/love-letter-batman"
"1555";"1555º";"Raptor";6.88;7.57;48;"https://ludopedia.com.br/jogo/raptor"
"1556";"1556º";"Munchkin: Zombies";6.88;7.0;283;"https://ludopedia.com.br/jogo/munchkin-zombies"
"1557";"1557º";"Histórias Sinistras";6.88;6.91;1224;"https://ludopedia.com.br/jogo/black-stories"
"1558";"1558º";"Skyliners";6.88;7.35;71;"https://ludopedia.com.br/jogo/skyliners"
"1559";"1559º";"TransAmerica";6.88;7.48;55;"https://ludopedia.com.br/jogo/transamerica"
"1560";"1560º";"Akigam";6.88;7.4;63;"https://ludopedia.com.br/jogo/akigam"
"1561";"1561º";"Crisis";6.88;8.38;22;"https://ludopedia.com.br/jogo/crisis"
"1562";"1562º";"Zombicide: Undead or Alive";6.88;9.07;15;"https://ludopedia.com.br/jogo/zombicide-undead-or-alive"
"1563";"1563º";"Star Trek: Fleet Captains";6.88;7.87;33;"https://ludopedia.com.br/jogo/star-trek-fleet-captains"
"1564";"1564º";"Roll Through the Ages: The Bronze Age";6.88;7.33;72;"https://ludopedia.com.br/jogo/roll-through-the-ages-the-bronze-age"
"1565";"1565º";"Doom: The Boardgame";6.88;7.56;48;"https://ludopedia.com.br/jogo/doom-the-boardgame"
"1566";"1566º";"Battle Scenes - Universo Marvel";6.88;7.07;173;"https://ludopedia.com.br/jogo/battle-scenes-universo-marvel"
"1567";"1567º";"Cartas a Vapor";6.88;7.37;67;"https://ludopedia.com.br/jogo/cartas-a-vapor"
"1568";"1568º";"Roll Camera!";6.88;8.43;21;"https://ludopedia.com.br/jogo/roll-camera-the-filmmaking-board-game"
"1569";"1569º";"Tikal II: The Lost Temple";6.88;7.67;41;"https://ludopedia.com.br/jogo/tikal-ii-the-lost-temple"
"1570";"1570º";"Crop Rotation: Bug Plague";6.87;7.44;58;"https://ludopedia.com.br/jogo/crop-rotation-bug-plague"
"1571";"1571º";"After The Empire";6.87;8.04;28;"https://ludopedia.com.br/jogo/after-the-empire"
"1572";"1572º";"Commands & Colors: Napoleonics";6.87;8.91;16;"https://ludopedia.com.br/jogo/commands-colors-napoleonics"
"1573";"1573º";"Unreal Estate";6.87;7.07;162;"https://ludopedia.com.br/jogo/unreal-estate"
"1574";"1574º";"Mind MGMT: O “Jogo” de Espionagem Psíquica";6.87;8.68;18;"https://ludopedia.com.br/jogo/mind-mgmt-the-psychic-espionage-game"
"1575";"1575º";"Interpol: Fuga em Nova York";6.87;7.1;143;"https://ludopedia.com.br/jogo/n-y-chase"
"1576";"1576º";"O Cerco de Runedar ";6.87;7.71;39;"https://ludopedia.com.br/jogo/the-siege-of-runedar"
"1577";"1577º";"Rattus";6.87;7.42;60;"https://ludopedia.com.br/jogo/rattus"
"1578";"1578º";"Traders of Osaka";6.87;7.61;44;"https://ludopedia.com.br/jogo/traders-of-osaka"
"1579";"1579º";"Ave Caesar";6.87;6.96;382;"https://ludopedia.com.br/jogo/ave-caesar"
"1580";"1580º";"18Chesapeake";6.87;8.23;24;"https://ludopedia.com.br/jogo/18chesapeake"
"1581";"1581º";"Tang Garden";6.87;8.35;22;"https://ludopedia.com.br/jogo/tang-garden"
"1582";"1582º";"Trekking the World";6.87;7.91;31;"https://ludopedia.com.br/jogo/trekking-the-world"
"1583";"1583º";"Carta Nostra";6.87;7.82;34;"https://ludopedia.com.br/jogo/carta-nostra"
"1584";"1584º";"Fog of Love";6.87;7.91;31;"https://ludopedia.com.br/jogo/fog-of-love"
"1585";"1585º";"Carcassonne Big Box 5";6.87;8.57;19;"https://ludopedia.com.br/jogo/carcassonne-big-box-5"
"1586";"1586º";"Eight-Minute Empire: Legends";6.87;7.36;65;"https://ludopedia.com.br/jogo/eight-minute-empire-legends"
"1587";"1587º";"Fortune and Glory: The Cliffhanger Game";6.87;8.06;27;"https://ludopedia.com.br/jogo/fortune-and-glory-the-cliffhanger-game"
"1588";"1588º";"Tesouro Inca";6.86;6.92;585;"https://ludopedia.com.br/jogo/incan-gold"
"1589";"1589º";"Tribes of the Wind";6.86;8.27;23;"https://ludopedia.com.br/jogo/tribes-of-the-wind"
"1590";"1590º";"Histórias Sinistras: Mortes Hilárias";6.86;7.02;207;"https://ludopedia.com.br/jogo/black-stories-funny-death-edition"
"1591";"1591º";"Escape Tales: Memória Baixa";6.86;7.79;35;"https://ludopedia.com.br/jogo/escape-tales-memoria-baixa"
"1592";"1592º";"Dice Throne";6.86;8.21;24;"https://ludopedia.com.br/jogo/dice-throne"
"1593";"1593º";"Liar's Dice";6.86;7.41;59;"https://ludopedia.com.br/jogo/liar-s-dice"
"1594";"1594º";"Dark Ages";6.86;9.01;15;"https://ludopedia.com.br/jogo/dark-ages-heritage-of-charlemagne"
"1595";"1595º";"Deckscape Hora do Teste";6.86;7.19;98;"https://ludopedia.com.br/jogo/deckscape-test-time"
"1596";"1596º";"Ragusa";6.86;7.46;54;"https://ludopedia.com.br/jogo/ragusa"
"1597";"1597º";"Tinners' Trail";6.86;7.78;35;"https://ludopedia.com.br/jogo/tinners-trail"
"1598";"1598º";"Similo: Contos";6.86;7.34;67;"https://ludopedia.com.br/jogo/similo-fables"
"1599";"1599º";"Munchkin Dungeon";6.86;8.26;23;"https://ludopedia.com.br/jogo/munchkin-dungeon"
"1600";"1600º";"Medina (second edition)";6.86;7.78;35;"https://ludopedia.com.br/jogo/medina-second-edition"
"1601";"1601º";"O Enigma do Labirinto";6.86;7.3;73;"https://ludopedia.com.br/jogo/-labyrinth"
"1602";"1602º";"Raids";6.86;7.54;47;"https://ludopedia.com.br/jogo/raids"
"1603";"1603º";"Antike";6.86;7.75;36;"https://ludopedia.com.br/jogo/antike"
"1604";"1604º";"Wildcatters";6.86;8.14;25;"https://ludopedia.com.br/jogo/wildcatters"
"1605";"1605º";"Anime Saga";6.86;7.08;144;"https://ludopedia.com.br/jogo/anime-saga"
"1606";"1606º";"Stronghold";6.86;7.77;35;"https://ludopedia.com.br/jogo/stronghold"
"1607";"1607º";"Soberano ";6.86;8.64;18;"https://ludopedia.com.br/jogo/soberano"
"1608";"1608º";"KeyForge: Mar de Trevas";6.86;8.14;25;"https://ludopedia.com.br/jogo/keyforge-dark-tidings"
"1609";"1609º";"Tokyo Highway (four-player edition)";6.86;7.57;45;"https://ludopedia.com.br/jogo/tokyo-highway-four-player-edition"
"1610";"1610º";"Santa Kaos";6.86;9.14;14;"https://ludopedia.com.br/jogo/santa-kaos"
"1611";"1611º";"Tajemnicze Domostwo";6.85;8.45;20;"https://ludopedia.com.br/jogo/tajemnicze-domostwo"
"1612";"1612º";"Churchill";6.85;8.37;21;"https://ludopedia.com.br/jogo/churchill"
"1613";"1613º";"Lotus";6.85;7.67;39;"https://ludopedia.com.br/jogo/lotus"
"1614";"1614º";"Mr. Jack Pocket";6.85;7.1;128;"https://ludopedia.com.br/jogo/mr-jack-pocket"
"1615";"1615º";"Reversi (Othello)";6.85;7.24;81;"https://ludopedia.com.br/jogo/othello"
"1616";"1616º";"Papayoo";6.85;7.3;70;"https://ludopedia.com.br/jogo/papayoo"
"1617";"1617º";"Camel Up Cards";6.85;8.02;27;"https://ludopedia.com.br/jogo/camel-up-cards"
"1618";"1618º";"Imagem & Ação";6.85;6.92;453;"https://ludopedia.com.br/jogo/imagem-acao"
"1619";"1619º";"Andean Abyss";6.85;8.52;19;"https://ludopedia.com.br/jogo/andean-abyss"
"1620";"1620º";"Guia dos Curiosos";6.85;7.9;30;"https://ludopedia.com.br/jogo/guia-dos-curiosos"
"1621";"1621º";"Say Bye to the Villains";6.85;6.93;368;"https://ludopedia.com.br/jogo/say-bye-to-the-villains"
"1622";"1622º";"Hannibal: Rome vs. Carthage";6.85;8.61;18;"https://ludopedia.com.br/jogo/hannibal-rome-vs-carthage"
"1623";"1623º";"Cards Against Humanity";6.85;6.94;323;"https://ludopedia.com.br/jogo/cards-against-humanity"
"1624";"1624º";"A Study in Emerald (second edition)";6.84;7.7;37;"https://ludopedia.com.br/jogo/a-study-in-emerald-second-edition"
"1625";"1625º";"Risk Legacy";6.84;8.06;26;"https://ludopedia.com.br/jogo/risk-legacy"
"1626";"1626º";"Buraco";6.84;7.16;101;"https://ludopedia.com.br/jogo/canastra"
"1627";"1627º";"Gunrunners";6.84;7.03;168;"https://ludopedia.com.br/jogo/gunrunners"
"1628";"1628º";"Pandemic: Rising Tide";6.84;8.34;21;"https://ludopedia.com.br/jogo/pandemic-rising-tide"
"1629";"1629º";"Barbarians: The Invasion";6.84;8.49;19;"https://ludopedia.com.br/jogo/barbarians-the-invasion"
"1630";"1630º";"Fuga de Creta";6.84;7.92;29;"https://ludopedia.com.br/jogo/fuga-de-creta"
"1631";"1631º";"Earth Reborn";6.84;8.0;27;"https://ludopedia.com.br/jogo/earth-reborn"
"1632";"1632º";"Ride the Rails";6.84;8.0;27;"https://ludopedia.com.br/jogo/ride-the-rails"
"1633";"1633º";"Galaxy Trucker: Anniversary Edition";6.84;7.89;30;"https://ludopedia.com.br/jogo/galaxy-trucker-anniversary-edition"
"1634";"1634º";"Star Realms: Frontiers";6.84;8.8;16;"https://ludopedia.com.br/jogo/star-realms-frontiers"
"1635";"1635º";"Dobble: Marvel Emoji";6.84;7.92;29;"https://ludopedia.com.br/jogo/dobble-marvel-emoji"
"1636";"1636º";"Mandala";6.84;8.26;22;"https://ludopedia.com.br/jogo/mandala"
"1637";"1637º";"Joraku";6.84;7.85;31;"https://ludopedia.com.br/jogo/joraku"
"1638";"1638º";"Elema";6.83;8.4;20;"https://ludopedia.com.br/jogo/elema"
"1639";"1639º";"Dungeon Drop";6.83;7.31;66;"https://ludopedia.com.br/jogo/dungeon-drop"
"1640";"1640º";"Reload";6.83;7.99;27;"https://ludopedia.com.br/jogo/reload"
"1641";"1641º";"Alma Mater";6.83;8.13;24;"https://ludopedia.com.br/jogo/alma-mater"
"1642";"1642º";"Ascension: Storm of Souls";6.83;8.08;25;"https://ludopedia.com.br/jogo/ascension-storm-of-souls"
"1643";"1643º";"City of Horror";6.83;7.29;68;"https://ludopedia.com.br/jogo/city-of-horror"
"1644";"1644º";"Duo Regna";6.83;7.67;37;"https://ludopedia.com.br/jogo/duo-regna"
"1645";"1645º";"Fantasma Blitz 2.0";6.83;7.74;34;"https://ludopedia.com.br/jogo/ghost-blitz-2"
"1646";"1646º";"Carcassonne: The Castle";6.83;7.77;33;"https://ludopedia.com.br/jogo/carcassonne-the-castle"
"1647";"1647º";"Calimala";6.83;7.67;37;"https://ludopedia.com.br/jogo/calimala"
"1648";"1648º";"Coal Baron: The Great Card Game";6.83;8.12;24;"https://ludopedia.com.br/jogo/coal-baron-the-great-card-game"
"1649";"1649º";"Catan o Duelo";6.83;7.52;45;"https://ludopedia.com.br/jogo/rivals-for-catan-deluxe"
"1650";"1650º";"Munchkin: Cthulhu";6.83;6.94;286;"https://ludopedia.com.br/jogo/munchkin-cthulhu"
"1651";"1651º";"Hnefatafl (Xadrez Viking)";6.83;7.32;63;"https://ludopedia.com.br/jogo/hnefatafl-xadrez-viking"
"1652";"1652º";"Magic: The Gathering (Fourth Edition)";6.83;7.83;31;"https://ludopedia.com.br/jogo/magic-the-gathering-fourth-edition"
"1653";"1653º";"Quests of Valeria";6.83;7.55;43;"https://ludopedia.com.br/jogo/quests-of-valeria"
"1654";"1654º";"Love Letter: Legend of the Five Rings";6.83;7.66;37;"https://ludopedia.com.br/jogo/love-letter-legend-of-the-five-rings"
"1655";"1655º";"Similo: Monstros";6.83;7.5;46;"https://ludopedia.com.br/jogo/similo-spookies"
