"id";"gameRank";"gameName";"notaRank";"notaMedia";"qtNotas";"url"
"1144";"1144º";"Deep Space D-6";7.03;7.86;45;"https://ludopedia.com.br/jogo/deep-space-d-6"
"1145";"1145º";"Winner's Circle";7.03;7.99;39;"https://ludopedia.com.br/jogo/winner-s-circle"
"1146";"1146º";"Lord of the Rings";7.03;7.82;47;"https://ludopedia.com.br/jogo/lord-of-the-rings"
"1147";"1147º";"Marvel Spider-Web";7.02;7.85;45;"https://ludopedia.com.br/jogo/marvel-spider-web"
"1148";"1148º";"Marvel Dice Masters: Avengers vs. X-Men";7.02;7.25;164;"https://ludopedia.com.br/jogo/marvel-dice-masters-avengers-vs-x-men"
"1149";"1149º";"Recicle: Tempos de Crise";7.02;7.4;99;"https://ludopedia.com.br/jogo/recicle-tempos-de-crise"
"1150";"1150º";"Genoa";7.02;7.8;48;"https://ludopedia.com.br/jogo/genoa"
"1151";"1151º";"UNO Stacko";7.02;7.44;89;"https://ludopedia.com.br/jogo/uno-stacko"
"1152";"1152º";"Mixtapes";7.02;9.5;15;"https://ludopedia.com.br/jogo/mixtapes"
"1153";"1153º";"Sociedade dos Salafrários";7.02;7.29;136;"https://ludopedia.com.br/jogo/scoundrel-society"
"1154";"1154º";"Tabu";7.02;7.54;71;"https://ludopedia.com.br/jogo/taboo"
"1155";"1155º";"Monopoly Deal - Jogo de Cartas";7.02;7.08;568;"https://ludopedia.com.br/jogo/monopoly-deal-card-game"
"1156";"1156º";"Space Hulk (fourth edition)";7.02;8.7;22;"https://ludopedia.com.br/jogo/space-hulk-fourth-edition"
"1157";"1157º";"Pit";7.02;7.82;46;"https://ludopedia.com.br/jogo/pit"
"1158";"1158º";"Walk the Plank: Deluxe Edition";7.02;7.48;79;"https://ludopedia.com.br/jogo/walk-the-plank-deluxe-edition"
"1159";"1159º";"Hit Z Road";7.02;7.69;55;"https://ludopedia.com.br/jogo/hit-z-road"
"1160";"1160º";"Chicago";7.01;7.82;46;"https://ludopedia.com.br/jogo/chicago"
"1161";"1161º";"NMBR9";7.01;7.23;168;"https://ludopedia.com.br/jogo/nmbr-9"
"1162";"1162º";"Parfum";7.01;7.77;49;"https://ludopedia.com.br/jogo/parfum"
"1163";"1163º";"Terramara";7.01;8.38;27;"https://ludopedia.com.br/jogo/terramara"
"1164";"1164º";"Constantinopolis";7.01;7.85;44;"https://ludopedia.com.br/jogo/constantinopolis"
"1165";"1165º";"The XX War";7.01;8.48;25;"https://ludopedia.com.br/jogo/the-xx-war"
"1166";"1166º";"Black Orchestra";7.01;8.43;26;"https://ludopedia.com.br/jogo/black-orchestra"
"1167";"1167º";"Anno 1800";7.01;8.23;30;"https://ludopedia.com.br/jogo/anno-1800"
"1168";"1168º";"Hey, That's My Fish!";7.01;7.14;275;"https://ludopedia.com.br/jogo/hey-that-s-my-fish"
"1169";"1169º";"InBetween";7.01;7.37;101;"https://ludopedia.com.br/jogo/inbetween"
