"id";"gameRank";"gameName";"notaRank";"notaMedia";"qtNotas";"url"
"1061";"1061º";"Die die DIE";7.1;7.41;131;"https://ludopedia.com.br/jogo/die-die-die"
"1062";"1062º";"Merchant of Venus (Second Edition)";7.1;7.98;46;"https://ludopedia.com.br/jogo/merchant-of-venus-second-edition"
"1063";"1063º";"Warhammer Underworlds: Shadespire";7.1;8.66;26;"https://ludopedia.com.br/jogo/warhammer-underworlds-shadespire"
"1064";"1064º";"CV";7.1;7.19;468;"https://ludopedia.com.br/jogo/cv"
"1065";"1065º";"As Lendas de Andor: Chada & Thorn";7.1;7.51;100;"https://ludopedia.com.br/jogo/die-legenden-von-andor-chada-thorn"
"1066";"1066º";"Drako: Dragon & Dwarves";7.1;7.41;132;"https://ludopedia.com.br/jogo/drako-dragon-dwarves"
"1067";"1067º";"Container";7.1;8.04;43;"https://ludopedia.com.br/jogo/container"
"1068";"1068º";"Ultimate Werewolf: Deluxe Edition";7.1;7.91;50;"https://ludopedia.com.br/jogo/ultimate-werewolf-deluxe-edition"
"1069";"1069º";"Railroad Ink: Edição Vermelho Ardente";7.1;7.48;107;"https://ludopedia.com.br/jogo/railroad-ink-blazing-red-edition"
"1070";"1070º";"Bad Bones";7.1;7.69;68;"https://ludopedia.com.br/jogo/bad-bones"
"1071";"1071º";"Middle-Earth Quest";7.1;8.22;36;"https://ludopedia.com.br/jogo/middle-earth-quest"
"1072";"1072º";"Paths of Glory";7.1;9.11;20;"https://ludopedia.com.br/jogo/paths-of-glory"
"1073";"1073º";"Pandemic: Zona Crítica - América do Norte";7.1;7.72;65;"https://ludopedia.com.br/jogo/pandemic-hot-zone-north-america"
"1074";"1074º";"Oriflamme";7.1;7.79;58;"https://ludopedia.com.br/jogo/oriflamme"
"1075";"1075º";"Shikoku 1889";7.1;8.35;32;"https://ludopedia.com.br/jogo/shikoku-1889"
"1076";"1076º";"Coloretto";7.1;7.17;534;"https://ludopedia.com.br/jogo/coloretto"
"1077";"1077º";"Disney Villainous: Wicked to the Core";7.1;8.7;25;"https://ludopedia.com.br/jogo/disney-villainous-wicked-to-the-core"
"1078";"1078º";"Academia";7.1;7.23;298;"https://ludopedia.com.br/jogo/academia"
"1079";"1079º";"Aquarium";7.1;7.37;145;"https://ludopedia.com.br/jogo/aquarium"
"1080";"1080º";"Zombie Kidz: Evolução";7.1;7.88;51;"https://ludopedia.com.br/jogo/zombie-kidz-evolution"
"1081";"1081º";"Glen More II: Chronicles";7.09;8.31;33;"https://ludopedia.com.br/jogo/glen-more-ii-chronicles"
"1082";"1082º";"Thunderstone Advance: Towers of Ruin";7.09;8.0;44;"https://ludopedia.com.br/jogo/thunderstone-advance-towers-of-ruin"
